title,picture_url,myanimelist_url,myanimelist_id,rank,score,type,aired_on,members
Gintama: The Final,https://cdn.myanimelist.net/images/anime/1245/116760.jpg,https://myanimelist.net/anime/39486/Gintama__The_Final,39486,1,9.04,Movie (1 eps),Jan 2021 - Jan 2021,145534
Koe no Katachi,https://cdn.myanimelist.net/images/anime/1122/96435.jpg,https://myanimelist.net/anime/28851/Koe_no_Katachi,28851,2,8.93,Movie (1 eps),Sep 2016 - Sep 2016,2288416
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,https://cdn.myanimelist.net/images/anime/10/51723.jpg,https://myanimelist.net/anime/15335/Gintama_Movie_2__Kanketsu-hen_-_Yorozuya_yo_Eien_Nare,15335,3,8.91,Movie (1 eps),Jul 2013 - Jul 2013,237818
Violet Evergarden Movie,https://cdn.myanimelist.net/images/anime/1825/110716.jpg,https://myanimelist.net/anime/37987/Violet_Evergarden_Movie,37987,4,8.88,Movie (1 eps),Sep 2020 - Sep 2020,592245
Kimi no Na wa.,https://cdn.myanimelist.net/images/anime/5/87048.jpg,https://myanimelist.net/anime/32281/Kimi_no_Na_wa,32281,5,8.84,Movie (1 eps),Aug 2016 - Aug 2016,2699502
The First Slam Dunk,https://cdn.myanimelist.net/images/anime/1745/129284.jpg,https://myanimelist.net/anime/45649/The_First_Slam_Dunk,45649,6,8.81,Movie (1 eps),Dec 2022 - Dec 2022,35419
Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,https://cdn.myanimelist.net/images/anime/1670/130060.jpg,https://myanimelist.net/anime/52198/Kaguya-sama_wa_Kokurasetai__First_Kiss_wa_Owaranai,52198,7,8.8,Movie (1 eps),Dec 2022 - Dec 2022,242430
Kizumonogatari III: Reiketsu-hen,https://cdn.myanimelist.net/images/anime/1084/112813.jpg,https://myanimelist.net/anime/31758/Kizumonogatari_III__Reiketsu-hen,31758,8,8.78,Movie (1 eps),Jan 2017 - Jan 2017,455620
Sen to Chihiro no Kamikakushi,https://cdn.myanimelist.net/images/anime/6/79597.jpg,https://myanimelist.net/anime/199/Sen_to_Chihiro_no_Kamikakushi,199,9,8.77,Movie (1 eps),Jul 2001 - Jul 2001,1828031
Fate/stay night Movie: Heaven's Feel - III. Spring Song,https://cdn.myanimelist.net/images/anime/1142/112957.jpg,https://myanimelist.net/anime/33050/Fate_stay_night_Movie__Heavens_Feel_-_III_Spring_Song,33050,10,8.67,Movie (1 eps),Aug 2020 - Aug 2020,344001
Howl no Ugoku Shiro,https://cdn.myanimelist.net/images/anime/1470/138723.jpg,https://myanimelist.net/anime/431/Howl_no_Ugoku_Shiro,431,11,8.66,Movie (1 eps),Nov 2004 - Nov 2004,1313953
Mononoke Hime,https://cdn.myanimelist.net/images/anime/7/75919.jpg,https://myanimelist.net/anime/164/Mononoke_Hime,164,12,8.66,Movie (1 eps),Jul 1997 - Jul 1997,1237000
Made in Abyss Movie 3: Fukaki Tamashii no Reimei,https://cdn.myanimelist.net/images/anime/1502/110723.jpg,https://myanimelist.net/anime/36862/Made_in_Abyss_Movie_3__Fukaki_Tamashii_no_Reimei,36862,13,8.62,Movie (1 eps),Jan 2020 - Jan 2020,451801
Suzumiya Haruhi no Shoushitsu,https://cdn.myanimelist.net/images/anime/1248/112352.jpg,https://myanimelist.net/anime/7311/Suzumiya_Haruhi_no_Shoushitsu,7311,14,8.6,Movie (1 eps),Feb 2010 - Feb 2010,604021
Kimetsu no Yaiba Movie: Mugen Ressha-hen,https://cdn.myanimelist.net/images/anime/1704/106947.jpg,https://myanimelist.net/anime/40456/Kimetsu_no_Yaiba_Movie__Mugen_Ressha-hen,40456,15,8.6,Movie (1 eps),Oct 2020 - Oct 2020,1501206
Mushishi Zoku Shou: Suzu no Shizuku,https://cdn.myanimelist.net/images/anime/9/72689.jpg,https://myanimelist.net/anime/28957/Mushishi_Zoku_Shou__Suzu_no_Shizuku,28957,16,8.59,Movie (1 eps),May 2015 - May 2015,127100
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,https://cdn.myanimelist.net/images/anime/1613/102179.jpg,https://myanimelist.net/anime/38329/Seishun_Buta_Yarou_wa_Yumemiru_Shoujo_no_Yume_wo_Minai,38329,17,8.59,Movie (1 eps),Jun 2019 - Jun 2019,698340
Shin Evangelion Movie: ||,https://cdn.myanimelist.net/images/anime/1422/113533.jpg,https://myanimelist.net/anime/3786/Shin_Evangelion_Movie__||,3786,18,8.59,Movie (1 eps),Mar 2021 - Mar 2021,367808
Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,https://cdn.myanimelist.net/images/anime/12/19698.jpg,https://myanimelist.net/anime/4565/Tengen_Toppa_Gurren_Lagann_Movie_2__Lagann-hen,4565,19,8.58,Movie (1 eps),Apr 2009 - Apr 2009,214197
